Defense.defTD,Defense.defensiveInterceptions,Defense.defensiveInterceptionsYards,Defense.forcedFumbles,Defense.fumbles,Defense.fumblesLost,Defense.fumblesRecovered,Defense.interceptionTDs,Defense.passDeflections,Defense.qbHits,Defense.sacks,Defense.soloTackles,Defense.tfl,Defense.totalTackles,Kicking.kickReturnAvg,Kicking.kickReturnLong,Kicking.kickReturnTD,Kicking.kickReturnYds,Kicking.kickReturns,Passing.int,Passing.passAttempts,Passing.passAvg,Passing.passCompletions,Passing.passTD,Passing.passYds,Passing.qbr,Passing.rtg,Passing.sacked,Punting.puntReturnAvg,Punting.puntReturnLong,Punting.puntReturnTD,Punting.puntReturnYds,Punting.puntReturns,Receiving.longRec,Receiving.recAvg,Receiving.recTD,Receiving.recYds,Receiving.receivingTwoPointConversion,Receiving.receptions,Receiving.targets,Rushing.carries,Rushing.longRush,Rushing.rushAvg,Rushing.rushTD,Rushing.rushYds,SpecialTeams.kickReturnAvg,SpecialTeams.kickReturnLong,SpecialTeams.kickReturnTD,SpecialTeams.kickReturnYds,SpecialTeams.kickReturns,SpecialTeams.puntReturnAvg,SpecialTeams.puntReturnLong,SpecialTeams.puntReturnTD,SpecialTeams.puntReturnYds,SpecialTeams.puntReturns,cbsLongName,fantasyPoints,fantasyPointsDefault.PPR,fantasyPointsDefault.halfPPR,fantasyPointsDefault.standard,gameID,gameWeek,longName,playerAbv,playerID,playerName,scoringPlays,snapCounts.defSnap,snapCounts.defSnapPct,snapCounts.offSnap,snapCounts.offSnapPct,snapCounts.stSnap,snapCounts.stSnapPct,team,teamAbv,teamID
,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,11.0,19,0,44,4,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,20241208_CLE@PIT,,Kadarius Toney,,4240600,,,0,0.00,5,0.07,6,0.21,CLE,CLE,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.5,0,11,,2,3,,,,,,,,,,,,,,,,,,3.1,2.1,1.1,20230819_BUF@PIT,,Bryan Thompson,,4243261,,,,,,,,,BUF,BUF,4
,,,,,,,,,,,,,,19.0,19,0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251102_SEA@WSH,,Luke McCaffrey,,4426948,,,0,0.00,0,0.00,1,0.04,WSH,WSH,32
,,,,,,,,,,,,,,30.0,30,0,30,1,,,,,,,,,,2.0,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20240823_SF@LV,,Dax Milne,,4373642,,,,,,,,,LV,LV,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251127_CIN@BAL,,Rashod Bateman,,4360939,,,0,0.00,44,0.73,0,0.00,BAL,BAL,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20241020_LV@LAR,,Tyreik McAllister,,4589248,,,0,0.00,0,0.00,2,0.07,LV,LV,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,20.6,1,144,,7,10,1,-5,-5.0,0,-5,,,,,,,,,,,,,26.9,23.4,19.9,20251127_GB@DET,,Jameson Williams,,4426388,,"[{""score"": ""Jameson Williams 22 Yd pass from Jared Goff (Jake Bates Kick)"", ""scorePeriod"": ""Q2"", ""homeScore"": ""14"", ""awayScore"": ""17"", ""teamID"": ""11"", ""scoreDetails"": ""7 plays, 65 yards, 1:47"", ""scoreType"": ""TD"", ""scoreTime"": ""0:25"", ""team"": ""DET"", ""playerIDs"": [""3046779"", ""4426388"", ""4689936""]}]",0,0.00,59,0.94,0,0.00,DET,DET,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.0,0,5,,1,2,,,,,,,,,,,,,,,,,,1.5,1.0,0.5,20251130_ARI@TB,,Sterling Shepard,,2976592,,,0,0.00,16,0.26,0,0.00,TB,TB,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3,0,3,1,-1,-1.0,0,-1,,1,2,2,11,5.0,0,10,,,,,,,,,,,,,1.9,1.4,0.9,20230825_LAC@SF,,Darrius Shepherd,,3120588,,,,,,,,,LAC,LAC,18
,0,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,6.0,6,0,6,1,0,0.0,0,0,,0,1,,,,,,,,,,,6.0,6,0,6,1,,,0.0,0.0,0.0,20220813_LAR@LAC,,Maurice Ffrench,M. Ffrench,4036055,Maurice Ffrench,,,,,,,,LAC,LAC,18
