"player_id","player","week","position","stock_value","stock_change","last_game_delta","avg_epa","yards","tds","espnId"
"4241464","Mac Jones","7","QB","0.0","0.0","0.0","0.0","0.0","0","4241464"
"3040151","George Kittle","7","TE","0.0","0.0","0.0","0.0","0.0","0","3040151"
"4361182","Adrian Martinez","7","QB","0.0","0.0","0.0","0.0","0.0","0","4361182"
"3117251","Christian McCaffrey","7","RB","0.0","0.0","0.0","0.0","0.0","0","3117251"
"4430191","Skyy Moore","7","WR","0.0","0.0","0.0","0.0","0.0","0","4430191"
"4428209","Ricky Pearsall","7","WR","0.0","0.0","0.0","0.0","0.0","0","4428209"
"3043116","Demarcus Robinson","7","WR","0.0","0.0","0.0","0.0","0.0","0","3043116"
"4241474","Brian Robinson Jr.","7","RB","0.0","0.0","0.0","0.0","0.0","0","4241474"
"4259147","Jake Tonges","7","TE","0.0","0.0","0.0","0.0","0.0","0","4259147"
"4431466","Jordan Watkins","7","WR","0.0","0.0","0.0","0.0","0.0","0","4431466"
"4360438","Brandon Aiyuk","7","WR","0.0","0.0","0.0","0.0","0.0","0","4360438"
"4575665","Jacob Cowing","7","WR","0.0","0.0","0.0","0.0","0.0","0","4575665"
"4430431","Kurtis Rourke","7","QB","0.0","0.0","0.0","0.0","0.0","0","4430431"
"3040569","Trent Taylor","7","WR","0.0","0.0","0.0","0.0","0.0","0","3040569"
"4039358","Patrick Taylor Jr.","7","RB","0.0","0.0","0.0","0.0","0.0","0","4039358"
"4887918","Junior Bergen","7","WR","0.0","0.0","0.0","0.0","0.0","0","4887918"
"3115378","Russell Gage Jr.","7","WR","0.0","0.0","0.0","0.0","0.0","0","3115378"
"4430104","Sincere McCormick","7","RB","0.0","0.0","0.0","0.0","0.0","0","4430104"
"3115928","Malik Turner","7","WR","0.0","0.0","0.0","0.0","0.0","0","3115928"
"4360290","Brayden Willis","7","TE","0.0","0.0","0.0","0.0","0.0","0","4360290"
"4678006","Elijah Arroyo","7","TE","0.0","0.0","0.0","0.0","0.0","0","4678006"
"4576297","AJ Barner","7","TE","0.0","0.0","0.0","0.0","0.0","0","4576297"
