player,week,pass_yards,pass_tds,ints,rush_yards,rush_tds,fumbles,epa_per_play,cpoe,pass_attempts
J.Love,3,183.0,1.0,1.0,0.0,0.0,0.0,-0.031409574032648345,-2.2311426202456195,30.0
J.Love,4,337.0,3.0,0.0,0.0,0.0,1.0,0.48752214307015684,12.292558903043918,44.0
J.Love,6,259.0,1.0,1.0,0.0,0.0,0.0,0.2724485979072257,6.365978938561885,27.0
J.Love,7,179.0,1.0,0.0,0.0,0.0,1.0,0.2021187172653425,-2.819360196590423,30.0
J.McCarthy,1,143.0,2.0,1.0,0.0,0.0,0.0,-0.39265163595978037,-2.6087524890899645,25.0
J.McCarthy,2,158.0,0.0,2.0,0.0,0.0,2.0,-0.6654280477944008,-8.64133823800969,27.0
J.Milton,3,41.0,0.0,1.0,0.0,0.0,0.0,-0.14522015214897782,4.92950856685636,5.0
J.Waddle,6,8.0,0.0,0.0,0.0,0.0,0.0,-0.592364791144432,11.6132378578186,1.0
K.Cousins,3,29.0,0.0,0.0,0.0,0.0,0.0,-0.4347821690607819,-8.271948780332298,7.0
K.Murray,1,163.0,2.0,0.0,0.0,0.0,0.0,0.04484703899588601,-1.4788388329393618,34.0
K.Murray,2,220.0,1.0,1.0,0.0,0.0,0.0,0.2361449137928665,0.7343575358390729,26.0
K.Murray,3,159.0,1.0,0.0,0.0,0.0,0.0,-0.01718369886128169,-2.4797030621104756,36.0
K.Murray,4,200.0,2.0,2.0,0.0,0.0,1.0,-0.0703063783878653,-4.219453195308113,47.0
K.Murray,5,220.0,0.0,0.0,0.0,0.0,0.0,0.05820697013233919,6.933890370761652,34.0
K.Pickett,7,8.0,0.0,0.0,0.0,0.0,0.0,-0.376780712394975,19.07112300395965,2.0
L.Jackson,1,209.0,2.0,0.0,0.0,0.0,0.0,0.4189724084660333,7.890337421780528,21.0
L.Jackson,2,225.0,4.0,0.0,0.0,0.0,0.0,0.29195947269548483,5.874411668628456,32.0
L.Jackson,3,288.0,3.0,0.0,0.0,0.0,1.0,0.31493945232299314,10.31556691442217,35.0
L.Jackson,4,147.0,1.0,1.0,0.0,0.0,1.0,-0.2269642405719814,5.2568534146184565,23.0
M.Brosmer,3,29.0,0.0,0.0,0.0,0.0,0.0,-0.9557454277382955,-29.869592189788825,4.0
M.Jones,2,279.0,3.0,0.0,0.0,0.0,1.0,0.06400338946364885,-3.2839511831601462,42.0
M.Jones,3,284.0,1.0,1.0,0.0,0.0,0.0,0.0357670269487412,2.9455072113445846,42.0
M.Jones,5,342.0,2.0,0.0,0.0,0.0,0.0,0.28003557781618543,-0.8729871511459322,50.0
