playerId,week,price,score,expectation_gap,momentum,price_change_pct
4362887,5,144.0,106.6,0.454959,-0.023001,0.2
4569618,5,274.66,33.8,0.057903,0.164241,0.100438
4427366,5,208.08,34.6,0.687805,0.184264,0.2
4429105,5,120.0,3.6,1.571429,-0.07,0.2
3953687,5,80.0,0.4,-0.5,-0.07,-0.2
4426354,5,115.84,27.0,0.31068,-0.07,0.158408
4372096,5,120.0,1.8,0.636364,-0.07,0.2
4242355,5,120.0,42.6,1.353591,-0.07,0.2
2577417,5,120.0,117.4,0.789634,-0.07,0.2
4685279,5,97.2,1.4,0.0,-0.07,-0.028
4567242,5,97.2,0.4,0.0,-0.07,-0.028
3128390,5,62.21,1.8,-0.821782,-0.2,-0.2
4808766,5,214.68,21.8,1.691358,0.200027,0.2
10621,5,127.0,0.8,0.142857,0.168204,0.152996
5083754,5,120.0,30.8,3.967742,-0.07,0.2
4361579,5,120.0,55.4,0.742138,-0.07,0.2
4361372,5,68.81,8.8,0.047619,-0.420965,-0.139814
3125107,5,97.2,14.6,0.0,-0.07,-0.028
4383396,5,97.2,2.8,0.0,-0.07,-0.028
3115306,5,96.0,8.6,1.6875,-0.235884,0.2
4249417,5,80.0,0.4,-0.916667,-0.07,-0.2
4695404,5,144.0,9.4,1.104478,0.249949,0.2
3128429,5,239.02,27.0,-0.025271,0.199989,0.064833
4040715,5,288.8,98.2,0.238335,0.035431,0.157174
3122168,5,120.0,4.2,2.0,-0.07,0.2
4239934,5,86.44,2.4,-0.217391,-0.164491,-0.196231
4241985,5,222.45,30.8,0.094139,-0.144399,-0.001277
4686472,5,157.69,6.6,-0.578275,0.199988,-0.2
3050478,5,64.0,0.4,-0.25,-0.283154,-0.2
4568490,5,111.51,8.4,-0.463259,0.199983,-0.197962
4241478,5,289.98,30.0,1.013423,-0.199993,0.2
3929914,5,92.66,1.6,0.333333,-0.104326,0.15827
3929630,5,228.51,33.2,0.175221,0.006538,0.107748
4431545,5,64.0,2.0,-0.285714,-0.153275,-0.2
2985659,5,109.2,0.8,0.2,-0.07,0.092
4426338,5,351.0,81.6,-0.062608,0.200007,0.042438
4383440,5,77.76,0.4,-0.866667,0.020193,-0.2
4361409,5,98.48,6.4,0.021277,-0.07,-0.015234
3121023,5,147.17,21.8,-0.096685,0.2,0.021989
4431280,5,119.88,10.2,-0.438017,-0.179264,-0.2
3051876,5,144.0,23.8,2.432692,0.031103,0.2
4047646,5,196.22,13.8,-0.083056,-0.199986,-0.129828
4362748,5,64.44,4.4,-0.164557,-0.239354,-0.194476
3911853,5,71.33,3.0,-0.676259,-0.337221,-0.2
4241374,5,144.0,5.2,0.529412,0.327492,0.2
3116164,5,122.06,5.8,0.45,-0.199984,0.190006
4242392,5,85.31,17.0,-0.198113,-0.07,-0.146868
4430027,5,133.34,36.0,1.868526,-0.198153,0.2
4360234,5,102.31,0.4,0.0,0.000587,0.0
4035538,5,296.57,42.4,0.68254,-0.200013,0.2
3116370,5,97.2,0.4,0.0,-0.07,-0.028
4374302,5,258.63,26.8,-0.352657,0.08431,-0.17787
4429795,5,374.21,32.2,-0.074713,0.066296,-0.018309
4368003,5,137.64,21.2,2.854545,0.268861,0.2
3886812,5,74.65,112.0,0.775899,-0.199974,0.2
3918330,5,97.2,0.4,0.0,-0.07,-0.028
4239993,5,190.76,21.6,0.648855,-0.19999,0.2
3116389,5,115.2,7.4,1.707317,-0.2,0.2
5123663,5,120.0,16.4,1.05,-0.07,0.2
3127310,5,80.0,0.6,-0.918919,-0.07,-0.2
3046779,5,204.66,100.0,0.124859,-0.200008,-0.005087
4362238,5,128.8,15.6,-0.034056,-0.057469,-0.043421
4426388,5,121.54,2.8,-0.835294,-0.2,-0.2
4362628,5,207.46,54.8,1.37744,-0.2,0.2
4876006,5,120.0,1.4,2.5,-0.07,0.2
4362603,5,97.2,6.2,0.0,-0.07,-0.028
3117256,5,289.46,16.4,0.64,0.112433,0.2
